INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
13;10.01.2016 0:00:00;1;630000;32286
14;10.01.2016 0:00:00;1;630000;32806
15;10.01.2016 0:00:00;1;630000;33523
16;10.01.2016 0:00:00;1;630000;33391
17;10.01.2016 0:00:00;1;630000;33305
18;10.01.2016 0:00:00;1;630000;33124
19;10.01.2016 0:00:00;1;630000;32299
20;10.01.2016 0:00:00;1;630000;31499
21;10.01.2016 0:00:00;1;630000;30885
22;10.01.2016 0:00:00;1;630000;30020
23;10.01.2016 0:00:00;1;630000;29692
0;11.01.2016 0:00:00;1;630000;29430
1;11.01.2016 0:00:00;1;630000;29159
2;11.01.2016 0:00:00;1;630000;29352
3;11.01.2016 0:00:00;1;630000;29913
4;11.01.2016 0:00:00;1;630000;31048
5;11.01.2016 0:00:00;1;630000;32299
6;11.01.2016 0:00:00;1;630000;33319
7;11.01.2016 0:00:00;1;630000;33682
8;11.01.2016 0:00:00;1;630000;33731
9;11.01.2016 0:00:00;1;630000;33564
10;11.01.2016 0:00:00;1;630000;33256
11;11.01.2016 0:00:00;1;630000;33425
12;11.01.2016 0:00:00;1;630000;33462
13;11.01.2016 0:00:00;1;630000;33463
14;11.01.2016 0:00:00;1;630000;33769
15;11.01.2016 0:00:00;1;630000;34272
16;11.01.2016 0:00:00;1;630000;34355
17;11.01.2016 0:00:00;1;630000;34170
18;11.01.2016 0:00:00;1;630000;33766
19;11.01.2016 0:00:00;1;630000;33078
20;11.01.2016 0:00:00;1;630000;32449
21;11.01.2016 0:00:00;1;630000;31518
22;11.01.2016 0:00:00;1;630000;30756
23;11.01.2016 0:00:00;1;630000;30335
0;12.01.2016 0:00:00;1;630000;29815
1;12.01.2016 0:00:00;1;630000;29845
2;12.01.2016 0:00:00;1;630000;30003
3;12.01.2016 0:00:00;1;630000;30535
4;12.01.2016 0:00:00;1;630000;31848
5;12.01.2016 0:00:00;1;630000;32782
6;12.01.2016 0:00:00;1;630000;33531
7;12.01.2016 0:00:00;1;630000;33718
8;12.01.2016 0:00:00;1;630000;33686
9;12.01.2016 0:00:00;1;630000;33483
10;12.01.2016 0:00:00;1;630000;33238
11;12.01.2016 0:00:00;1;630000;33391
12;12.01.2016 0:00:00;1;630000;33328
13;12.01.2016 0:00:00;1;630000;33433
14;12.01.2016 0:00:00;1;630000;33744
15;12.01.2016 0:00:00;1;630000;34480
16;12.01.2016 0:00:00;1;630000;34529
17;12.01.2016 0:00:00;1;630000;34308
18;12.01.2016 0:00:00;1;630000;34161
19;12.01.2016 0:00:00;1;630000;33370
